pair,layer,r2
atomic mass - atomic number,4,0.6047466716693874
atomic mass - atomic number,5,0.7365723357927727
atomic mass - atomic number,6,0.4232202658918361
atomic mass - atomic number,7,0.4076917433034673
atomic mass - atomic number,8,0.5720820190213163
atomic mass - atomic number,9,0.3862500397616498
atomic mass - atomic number,10,0.42632008215042794
atomic mass - atomic number,11,0.28233391802362773
atomic mass - atomic number,12,0.1542951071073866
atomic mass - atomic number,13,0.09095910390396358
atomic mass - atomic number,14,0.13792240103191283
atomic mass - atomic number,15,0.28131069157183913
atomic mass - atomic number,16,0.17000544894559735
atomic mass - atomic number,17,-0.4535602512245406
atomic mass - atomic number,18,-0.23600379301578597
atomic mass - atomic number,19,-0.34752236807199643
atomic mass - atomic number,20,-0.9239838501290505
atomic mass - atomic number,21,-0.7022065339213306
atomic mass - atomic number,22,-0.6559848720805144
atomic mass - atomic number,23,-0.996065949339593
atomic mass - atomic number,24,-1.9061124098410531
atomic mass - atomic number,25,-2.6514165761356576
atomic mass - atomic number,26,-2.748849326415727
atomic mass - atomic number,27,-2.5101620699788763
atomic mass - atomic number,28,-3.1234789457475594
atomic mass - atomic number,29,-1.5060034957380042
atomic mass - atomic number,30,0.022366022526998864
atomic mass - atomic number,31,6.964581894535194e-05
atomic mass - atomic number,32,0.16723719158463424
atomic mass - atomic number,33,-0.011081214162839493
atomic mass - atomic number,34,0.05734973643154846
atomic mass - atomic number,35,-1.1642432186786036
atomic mass - atomic number,36,0.3398484319636077
atomic mass - atomic number,37,0.5758655118597843
atomic mass - atomic number,38,0.5588374414763689
atomic mass - atomic number,39,0.8262330013418875
atomic mass - atomic number,40,0.8607546773849958
atomic mass - atomic number,41,0.833776631262087
atomic mass - atomic number,42,0.7918748820961135
atomic mass - atomic number,43,0.7402055737117612
atomic mass - atomic number,44,0.7707853489936678
atomic mass - atomic number,45,0.8491114790045178
atomic mass - atomic number,46,0.7968044565916227
atomic mass - atomic number,47,0.6480014730231999
atomic mass - atomic number,48,0.45916738812004826
atomic mass - atomic number,49,0.5902759472186483
atomic mass - atomic number,50,0.6277705632326148
atomic mass - atomic number,51,0.7176628530380196
atomic mass - atomic number,52,0.7349987636117732
